States,Counts,latitude,longitude
Andaman and Nicobar Islands,3,11.66702557,92.73598262
Andhra Pradesh,271,14.7504291,78.57002559
Arunachal Pradesh,1,27.10039878,93.61660071
Assam,39,26.7499809,94.21666744
Bihar,24,25.78541445,87.4799727
California,3,36.7783,119.4179
Chandigarh,28,30.71999697,76.78000565
Chhattisgarh,32,22.09042035,82.15998734
Dadra and Nagar Haveli,1,20.26657819,73.0166178
Delhi,278,28.6699929,77.23000403
England,1,52.3555,1.1743
Goa,28,15.491997,73.81800065
Gujarat,286,22.2587,71.1924
Haryana,157,28.45000633,77.01999101
Himachal Pradesh,25,31.10002545,77.16659704
Jammu and Kashmir,24,34.29995933,74.46665849
Jharkhand,37,23.80039349,86.41998572
Karnataka,768,12.57038129,76.91999711
Kerala,240,8.900372741,76.56999263
Madhya Pradesh,109,21.30039105,76.13001949
Maharashtra,880,19.25023195,73.16017493
Manipur,3,24.79997072,93.95001705
Michigan,1,44.3148,85.6024
Missouri,1,37.9643,91.8318
Mizoram,5,23.71039899,92.72001461
Nagaland,5,25.6669979,94.11657019
Odisha,58,19.82042971,85.90001746
Puducherry,18,11.93499371,79.83000037
Punjab,100,31.51997398,75.98000281
Rajasthan,103,26.44999921,74.63998124
Sharjah,2,25.3461,55.421
Sikkim,4,27.3333303,88.6166475
Tamil Nadu,499,12.92038576,79.15004187
Telangana,399,18.1124,79.0193
Tripura,6,23.83540428,91.27999914
Uttar Pradesh,230,27.59998069,78.05000565
Uttarakhand,32,30.32040895,78.05000565
Victoria,1,36.9848,143.3906
West Bengal,130,22.58039044,88.32994665
